订单号,下单日期,商品ID,商品名称,类目,销售渠道,城市,单价,数量,实付金额,成本,支付方式
SO20250475,2025-03-05,P0006,纯棉 T 恤,服饰鞋包,天猫旗舰店,南京,170.36,2,306.65,412.48,支付宝
SO20250476,2025-04-29,P0012,防晒霜,美妆个护,线下门店,武汉,569.61,3,1708.83,469.65,支付宝
SO20250477,2025-06-02,P0022,保温杯,家居生活,拼多多,广州,43.84,3,111.79,637.38,花呗
SO20250478,2025-03-08,P0019,水果拼盘,食品生鲜,天猫旗舰店,杭州,450.04,3,1282.61,734.19,支付宝
SO20250479,2025-02-26,P0013,电动牙刷,美妆个护,京东自营,深圳,58.73,5,278.97,88.5,银行卡
SO20250480,2025-05-02,P0021,记忆枕,家居生活,京东自营,广州,339.42,1,305.48,243.69,支付宝
SO20250481,2025-04-19,P0008,双肩背包,服饰鞋包,拼多多,成都,216.86,3,650.58,105.63,花呗
SO20250482,2025-06-09,P0009,牛仔裤,服饰鞋包,拼多多,重庆,190.2,3,570.6,397.08,支付宝
SO20250483,2025-06-15,P0001,无线蓝牙耳机,数码家电,线下门店,重庆,418.98,3,1256.94,586.29,银行卡
SO20250484,2025-03-28,P0010,羽绒服,服饰鞋包,抖音小店,成都,553.84,4,1993.82,74.56,银行卡
SO20250485,2025-02-08,P0009,牛仔裤,服饰鞋包,线下门店,深圳,531.77,3,1515.54,397.08,支付宝
SO20250486,2025-01-07,P0020,零食大礼包,食品生鲜,拼多多,杭州,335.2,3,955.32,35.64,银行卡
SO20250487,2025-05-27,P0014,洗发水,美妆个护,京东自营,成都,335.59,1,335.59,67.66,微信支付
SO20250488,2025-05-10,P0022,保温杯,家居生活,抖音小店,广州,437.02,4,1748.08,849.84,微信支付
SO20250489,2025-05-24,P0010,羽绒服,服饰鞋包,京东自营,成都,96.13,2,192.26,37.28,支付宝
SO20250490,2025-03-26,P0008,双肩背包,服饰鞋包,抖音小店,杭州,297.12,3,757.66,105.63,银行卡
SO20250491,2025-06-12,P0015,面膜,美妆个护,线下门店,重庆,683.95,4,2462.22,793.88,支付宝
SO20250492,2025-06-24,P0016,坚果礼盒,食品生鲜,拼多多,苏州,713.75,5,3211.88,840.15,银行卡
SO20250493,2025-02-21,P0014,洗发水,美妆个护,抖音小店,武汉,62.17,2,118.12,135.32,花呗
SO20250494,2025-05-05,P0005,机械键盘,数码家电,抖音小店,广州,266.78,2,480.2,447.16,银行卡
SO20250495,2025-02-23,P0021,记忆枕,家居生活,京东自营,重庆,65.25,4,261.0,974.76,微信支付
SO20250496,2025-06-07,P0016,坚果礼盒,食品生鲜,拼多多,武汉,632.46,1,600.84,168.03,花呗
SO20250497,2025-01-10,P0014,洗发水,美妆个护,线下门店,深圳,772.96,4,2782.66,270.64,银行卡
SO20250498,2025-01-05,P0001,无线蓝牙耳机,数码家电,天猫旗舰店,深圳,715.76,5,3399.86,977.15,微信支付
SO20250499,2025-01-27,P0023,香薰蜡烛,家居生活,拼多多,苏州,704.05,3,2006.54,326.01,银行卡
SO20250500,2025-03-16,P0006,纯棉 T 恤,服饰鞋包,拼多多,苏州,70.92,1,70.92,206.24,银行卡
SO20250501,2025-05-06,P0014,洗发水,美妆个护,抖音小店,深圳,712.62,2,1425.24,135.32,微信支付
SO20250502,2025-02-24,P0013,电动牙刷,美妆个护,天猫旗舰店,重庆,34.92,2,66.35,35.4,微信支付
SO20250503,2025-06-13,P0004,4K 显示器,数码家电,抖音小店,苏州,305.94,1,260.05,74.73,支付宝
SO20250504,2025-01-13,P0020,零食大礼包,食品生鲜,天猫旗舰店,武汉,795.85,1,716.26,11.88,花呗
SO20250505,2025-06-29,P0013,电动牙刷,美妆个护,京东自营,深圳,116.4,3,296.82,53.1,支付宝
SO20250506,2025-03-11,P0010,羽绒服,服饰鞋包,线下门店,重庆,348.28,1,348.28,18.64,微信支付
SO20250507,2025-06-08,P0014,洗发水,美妆个护,天猫旗舰店,杭州,667.91,1,667.91,67.66,支付宝
SO20250508,2025-03-09,P0004,4K 显示器,数码家电,线下门店,深圳,408.24,5,1939.14,373.65,银行卡
SO20250509,2025-05-21,P0023,香薰蜡烛,家居生活,拼多多,深圳,339.61,2,611.3,217.34,花呗
SO20250510,2025-01-29,P0011,保湿面霜,美妆个护,线下门店,南京,202.91,1,182.62,73.41,微信支付
SO20250511,2025-03-07,P0003,便携充电宝,数码家电,京东自营,南京,628.03,1,565.23,89.76,银行卡
SO20250512,2025-01-11,P0009,牛仔裤,服饰鞋包,抖音小店,成都,382.14,1,363.03,132.36,银行卡
SO20250513,2025-01-03,P0014,洗发水,美妆个护,京东自营,广州,596.06,1,536.45,67.66,银行卡
SO20250514,2025-01-24,P0012,防晒霜,美妆个护,抖音小店,成都,717.73,5,3588.65,782.75,微信支付
SO20250515,2025-04-09,P0004,4K 显示器,数码家电,拼多多,武汉,332.61,4,1330.44,298.92,微信支付
SO20250516,2025-01-27,P0004,4K 显示器,数码家电,拼多多,重庆,123.36,1,117.19,74.73,花呗
SO20250517,2025-04-08,P0019,水果拼盘,食品生鲜,抖音小店,重庆,549.15,2,1098.3,489.46,支付宝
SO20250518,2025-05-05,P0022,保温杯,家居生活,天猫旗舰店,武汉,706.36,2,1200.81,424.92,花呗
SO20250519,2025-06-30,P0002,智能手表,数码家电,线下门店,重庆,69.4,3,187.38,51.75,微信支付
SO20250520,2025-06-26,P0022,保温杯,家居生活,线下门店,上海,701.05,5,3505.25,1062.3,花呗
SO20250521,2025-06-19,P0022,保温杯,家居生活,拼多多,广州,586.79,4,2347.16,849.84,支付宝
SO20250522,2025-05-01,P0001,无线蓝牙耳机,数码家电,拼多多,广州,521.85,2,1043.7,390.86,支付宝
SO20250523,2025-03-13,P0025,收纳箱,家居生活,天猫旗舰店,苏州,403.49,2,806.98,575.18,微信支付
SO20250524,2025-01-21,P0018,有机牛奶,食品生鲜,拼多多,南京,521.79,4,1982.8,723.56,花呗
SO20250525,2025-01-31,P0003,便携充电宝,数码家电,拼多多,北京,688.14,4,2752.56,359.04,支付宝
SO20250526,2025-01-01,P0013,电动牙刷,美妆个护,天猫旗舰店,重庆,341.62,5,1708.1,88.5,银行卡
SO20250527,2025-04-04,P0017,咖啡豆,食品生鲜,天猫旗舰店,深圳,458.62,4,1834.48,295.72,花呗
SO20250528,2025-05-02,P0011,保湿面霜,美妆个护,抖音小店,南京,456.92,5,2284.6,367.05,支付宝
SO20250529,2025-03-29,P0004,4K 显示器,数码家电,抖音小店,杭州,612.27,2,1102.09,149.46,银行卡
SO20250530,2025-02-05,P0023,香薰蜡烛,家居生活,拼多多,上海,102.93,2,174.98,217.34,银行卡
SO20250531,2025-02-25,P0020,零食大礼包,食品生鲜,拼多多,深圳,172.82,1,146.9,11.88,银行卡
SO20250532,2025-02-01,P0004,4K 显示器,数码家电,拼多多,南京,610.58,1,610.58,74.73,微信支付
SO20250533,2025-04-21,P0016,坚果礼盒,食品生鲜,线下门店,南京,23.38,1,23.38,168.03,微信支付
SO20250534,2025-04-10,P0023,香薰蜡烛,家居生活,线下门店,重庆,471.27,2,848.29,217.34,银行卡
SO20250535,2025-06-27,P0017,咖啡豆,食品生鲜,京东自营,杭州,707.48,4,2829.92,295.72,花呗
SO20250536,2025-02-05,P0011,保湿面霜,美妆个护,拼多多,重庆,776.98,4,2952.52,293.64,银行卡
SO20250537,2025-06-11,P0023,香薰蜡烛,家居生活,京东自营,深圳,447.29,3,1341.87,326.01,微信支付
SO20250538,2025-06-16,P0020,零食大礼包,食品生鲜,京东自营,苏州,577.22,3,1645.08,35.64,银行卡
SO20250539,2025-05-03,P0023,香薰蜡烛,家居生活,线下门店,重庆,110.02,3,330.06,326.01,花呗
SO20250540,2025-04-19,P0022,保温杯,家居生活,天猫旗舰店,苏州,603.34,5,3016.7,1062.3,支付宝
SO20250541,2025-02-21,P0001,无线蓝牙耳机,数码家电,抖音小店,广州,317.08,1,285.37,195.43,银行卡
SO20250542,2025-02-22,P0022,保温杯,家居生活,线下门店,北京,215.44,1,215.44,212.46,银行卡
SO20250543,2025-06-15,P0015,面膜,美妆个护,线下门店,武汉,99.93,5,474.67,992.35,微信支付
SO20250544,2025-04-08,P0017,咖啡豆,食品生鲜,拼多多,武汉,631.76,3,1705.75,221.79,银行卡
SO20250545,2025-06-08,P0018,有机牛奶,食品生鲜,拼多多,深圳,61.97,3,176.61,542.67,银行卡
SO20250546,2025-02-19,P0025,收纳箱,家居生活,抖音小店,南京,478.94,5,2274.96,1437.95,微信支付
SO20250547,2025-01-31,P0022,保温杯,家居生活,拼多多,北京,78.09,2,156.18,424.92,花呗
SO20250548,2025-05-30,P0009,牛仔裤,服饰鞋包,抖音小店,北京,454.15,2,862.88,264.72,银行卡
SO20250549,2025-02-09,P0015,面膜,美妆个护,抖音小店,重庆,573.56,2,1032.41,396.94,支付宝
SO20250550,2025-05-06,P0025,收纳箱,家居生活,线下门店,苏州,747.26,5,3736.3,1437.95,银行卡
SO20250551,2025-02-26,P0003,便携充电宝,数码家电,京东自营,苏州,631.54,3,1894.62,269.28,支付宝
SO20250552,2025-04-14,P0017,咖啡豆,食品生鲜,天猫旗舰店,成都,144.31,5,721.55,369.65,微信支付
SO20250553,2025-03-17,P0007,休闲运动鞋,服饰鞋包,京东自营,重庆,537.4,3,1612.2,806.19,花呗
SO20250554,2025-06-21,P0018,有机牛奶,食品生鲜,抖音小店,南京,662.48,1,596.23,180.89,微信支付
SO20250555,2025-01-11,P0021,记忆枕,家居生活,抖音小店,武汉,498.69,5,2368.78,1218.45,支付宝
SO20250556,2025-05-13,P0013,电动牙刷,美妆个护,抖音小店,苏州,220.14,3,594.38,53.1,花呗
SO20250557,2025-05-12,P0016,坚果礼盒,食品生鲜,天猫旗舰店,上海,54.2,2,108.4,336.06,微信支付
SO20250558,2025-02-23,P0025,收纳箱,家居生活,京东自营,武汉,439.62,1,395.66,287.59,支付宝
SO20250559,2025-06-25,P0007,休闲运动鞋,服饰鞋包,京东自营,北京,439.45,4,1582.02,1074.92,花呗
SO20250560,2025-01-14,P0023,香薰蜡烛,家居生活,京东自营,杭州,278.74,1,250.87,108.67,支付宝
SO20250561,2025-04-10,P0019,水果拼盘,食品生鲜,拼多多,武汉,660.86,3,1685.19,734.19,花呗
SO20250562,2025-01-02,P0011,保湿面霜,美妆个护,线下门店,上海,33.17,1,33.17,73.41,支付宝
SO20250563,2025-01-28,P0023,香薰蜡烛,家居生活,抖音小店,杭州,681.64,3,2044.92,326.01,支付宝
SO20250564,2025-04-12,P0010,羽绒服,服饰鞋包,天猫旗舰店,南京,616.91,4,2097.49,74.56,微信支付
SO20250565,2025-03-17,P0018,有机牛奶,食品生鲜,京东自营,杭州,191.5,4,766.0,723.56,银行卡
SO20250566,2025-02-01,P0001,无线蓝牙耳机,数码家电,天猫旗舰店,北京,451.75,5,2145.81,977.15,花呗
SO20250567,2025-02-23,P0018,有机牛奶,食品生鲜,抖音小店,深圳,447.07,1,447.07,180.89,花呗
SO20250568,2025-02-17,P0021,记忆枕,家居生活,京东自营,重庆,684.14,2,1299.87,487.38,银行卡
SO20250569,2025-05-21,P0007,休闲运动鞋,服饰鞋包,拼多多,苏州,109.41,5,492.34,1343.65,支付宝
SO20250570,2025-02-20,P0010,羽绒服,服饰鞋包,线下门店,南京,543.91,3,1468.56,55.92,银行卡
SO20250571,2025-03-14,P0012,防晒霜,美妆个护,线下门店,上海,120.01,2,216.02,313.1,微信支付
SO20250572,2025-06-18,P0011,保湿面霜,美妆个护,抖音小店,重庆,398.97,3,1196.91,220.23,微信支付
SO20250573,2025-02-13,P0019,水果拼盘,食品生鲜,天猫旗舰店,成都,462.15,3,1178.48,734.19,微信支付
SO20250574,2025-04-03,P0008,双肩背包,服饰鞋包,京东自营,成都,575.52,4,2302.08,140.84,花呗
SO20250575,2025-05-22,P0015,面膜,美妆个护,天猫旗舰店,广州,367.38,3,936.82,595.41,支付宝
SO20250576,2025-02-20,P0009,牛仔裤,服饰鞋包,抖音小店,上海,689.8,2,1379.6,264.72,支付宝
SO20250577,2025-05-29,P0001,无线蓝牙耳机,数码家电,拼多多,重庆,682.68,1,682.68,195.43,微信支付
SO20250578,2025-05-01,P0002,智能手表,数码家电,京东自营,成都,450.24,5,2251.2,86.25,花呗
SO20250579,2025-02-04,P0008,双肩背包,服饰鞋包,拼多多,苏州,715.32,5,3576.6,176.05,支付宝
SO20250580,2025-06-07,P0013,电动牙刷,美妆个护,京东自营,苏州,303.82,1,288.63,17.7,微信支付
SO20250581,2025-06-18,P0015,面膜,美妆个护,京东自营,南京,144.19,5,720.95,992.35,银行卡
SO20250582,2025-01-17,P0002,智能手表,数码家电,抖音小店,成都,190.68,4,724.58,69.0,微信支付
SO20250583,2025-04-10,P0002,智能手表,数码家电,拼多多,南京,541.5,5,2707.5,86.25,支付宝
SO20250584,2025-06-30,P0002,智能手表,数码家电,线下门店,杭州,784.86,3,2119.12,51.75,银行卡
SO20250585,2025-06-17,P0019,水果拼盘,食品生鲜,拼多多,成都,444.59,2,755.8,489.46,支付宝
SO20250586,2025-04-14,P0017,咖啡豆,食品生鲜,抖音小店,成都,216.24,2,432.48,147.86,花呗
SO20250587,2025-02-05,P0016,坚果礼盒,食品生鲜,拼多多,广州,711.99,1,711.99,168.03,微信支付
SO20250588,2025-02-08,P0003,便携充电宝,数码家电,京东自营,广州,421.34,3,1200.82,269.28,银行卡
SO20250589,2025-04-17,P0020,零食大礼包,食品生鲜,抖音小店,上海,579.5,1,550.52,11.88,花呗
SO20250590,2025-02-11,P0022,保温杯,家居生活,拼多多,北京,393.48,2,786.96,424.92,微信支付
SO20250591,2025-02-04,P0002,智能手表,数码家电,线下门店,北京,119.75,5,568.81,86.25,微信支付
SO20250592,2025-04-14,P0002,智能手表,数码家电,线下门店,重庆,149.75,2,299.5,34.5,支付宝
SO20250593,2025-02-25,P0024,四件套,家居生活,拼多多,重庆,587.82,3,1587.11,165.27,花呗
SO20250594,2025-02-06,P0016,坚果礼盒,食品生鲜,线下门店,广州,153.04,4,612.16,672.12,银行卡
SO20250595,2025-06-02,P0006,纯棉 T 恤,服饰鞋包,线下门店,上海,584.87,3,1491.42,618.72,微信支付
SO20250596,2025-02-21,P0013,电动牙刷,美妆个护,线下门店,苏州,320.66,1,288.59,17.7,花呗
SO20250597,2025-06-07,P0005,机械键盘,数码家电,线下门店,北京,492.3,2,836.91,447.16,支付宝
SO20250598,2025-05-19,P0003,便携充电宝,数码家电,天猫旗舰店,武汉,396.15,2,792.3,179.52,花呗
SO20250599,2025-02-28,P0012,防晒霜,美妆个护,拼多多,武汉,702.36,5,2985.03,782.75,银行卡
